date,strategy,asset,weight
2018-02-01,SPY,SPY,1.0
2018-02-01,SPY,QQQ,0.0
2018-02-01,SPY,IWM,0.0
2018-02-01,SPY,EFA,0.0
2018-02-01,SPY,EEM,0.0
2018-02-01,SPY,TLT,0.0
2018-02-01,SPY,IEF,0.0
2018-02-01,SPY,LQD,0.0
2018-02-01,SPY,GLD,0.0
2018-02-01,SPY,VNQ,0.0
2018-02-01,Equal Weight,SPY,0.1
2018-02-01,Equal Weight,QQQ,0.1
2018-02-01,Equal Weight,IWM,0.1
2018-02-01,Equal Weight,EFA,0.1
2018-02-01,Equal Weight,EEM,0.1
2018-02-01,Equal Weight,TLT,0.1
2018-02-01,Equal Weight,IEF,0.1
2018-02-01,Equal Weight,LQD,0.1
2018-02-01,Equal Weight,GLD,0.1
2018-02-01,Equal Weight,VNQ,0.1
2018-02-01,Minimum Variance,SPY,0.2818082277358502
2018-02-01,Minimum Variance,QQQ,0.0
2018-02-01,Minimum Variance,IWM,0.0005672209237063965
2018-02-01,Minimum Variance,EFA,3.8872339066407784e-17
2018-02-01,Minimum Variance,EEM,3.717338092868037e-18
2018-02-01,Minimum Variance,TLT,0.008153654752292065
2018-02-01,Minimum Variance,IEF,0.29999999999999993
2018-02-01,Minimum Variance,LQD,0.29999999999999993
2018-02-01,Minimum Variance,GLD,0.10947089658815146
2018-02-01,Minimum Variance,VNQ,0.0
2018-02-01,Maximum Sharpe,SPY,0.3000000000000004
2018-02-01,Maximum Sharpe,QQQ,0.3000000000000004
2018-02-01,Maximum Sharpe,IWM,0.0
2018-02-01,Maximum Sharpe,EFA,0.0
2018-02-01,Maximum Sharpe,EEM,0.0
2018-02-01,Maximum Sharpe,TLT,0.0
2018-02-01,Maximum Sharpe,IEF,2.3700367284607348e-17
2018-02-01,Maximum Sharpe,LQD,0.3000000000000004
2018-02-01,Maximum Sharpe,GLD,0.09999999999999899
2018-02-01,Maximum Sharpe,VNQ,0.0
2018-02-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,SPY,0.2059619963467359
2018-02-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,QQQ,0.16481658029949392
2018-02-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,IWM,0.0
2018-02-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,EFA,7.578189248137519e-14
2018-02-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,EEM,8.530732157113112e-14
2018-02-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,TLT,4.609246989846946e-13
2018-02-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,IEF,0.2557545269783412
2018-02-01,Combined Robust Max Sharpe λ=0.50 γ=0.10,LQD,0.29999999999955673
